# t   MSD
           0   0.000000000000E+00
         100   1.080250000000E+02
         200   1.959050000000E+02
         300   3.092200000000E+02
         400   3.882600000000E+02
         500   5.162550000000E+02
         600   6.080350000000E+02
         700   7.633850000000E+02
         800   8.541650000000E+02
         900   9.306300000000E+02
        1000   1.022500000000E+03
        1100   1.088105000000E+03
        1200   1.237280000000E+03
        1300   1.330485000000E+03
        1400   1.448205000000E+03
        1500   1.482770000000E+03
        1600   1.610275000000E+03
        1700   1.721405000000E+03
        1800   1.798915000000E+03
        1900   2.022295000000E+03
        2000   2.139530000000E+03
        2100   2.279860000000E+03
        2200   2.409820000000E+03
        2300   2.571105000000E+03
        2400   2.651620000000E+03
        2500   2.834670000000E+03
        2600   2.889890000000E+03
        2700   2.966040000000E+03
        2800   3.183550000000E+03
        2900   3.302955000000E+03
        3000   3.563790000000E+03
        3100   3.704085000000E+03
        3200   3.776655000000E+03
        3300   3.853775000000E+03
        3400   4.014650000000E+03
        3500   4.144605000000E+03
        3600   4.215620000000E+03
        3700   4.410565000000E+03
        3800   4.506690000000E+03
        3900   4.524995000000E+03
        4000   4.740320000000E+03
        4100   4.879030000000E+03
        4200   5.057755000000E+03
        4300   5.086310000000E+03
        4400   5.183740000000E+03
        4500   5.368740000000E+03
        4600   5.428415000000E+03
        4700   5.418105000000E+03
        4800   5.608585000000E+03
        4900   5.824245000000E+03
        5000   5.865395000000E+03
        5100   5.888915000000E+03
        5200   5.904215000000E+03
        5300   5.967155000000E+03
        5400   6.087865000000E+03
        5500   6.035440000000E+03
        5600   6.124810000000E+03
        5700   6.248530000000E+03
        5800   6.465905000000E+03
        5900   6.520920000000E+03
        6000   6.538430000000E+03
        6100   6.606530000000E+03
        6200   6.672585000000E+03
        6300   6.741670000000E+03
        6400   6.841190000000E+03
        6500   6.832995000000E+03
        6600   6.803140000000E+03
        6700   6.805885000000E+03
        6800   6.892175000000E+03
        6900   6.859070000000E+03
        7000   7.043655000000E+03
        7100   7.190920000000E+03
        7200   7.335110000000E+03
        7300   7.256950000000E+03
        7400   7.441950000000E+03
        7500   7.510320000000E+03
        7600   7.738920000000E+03
        7700   7.783870000000E+03
        7800   7.726640000000E+03
        7900   7.888505000000E+03
        8000   7.974830000000E+03
        8100   7.933225000000E+03
        8200   8.116340000000E+03
        8300   8.239720000000E+03
        8400   8.098635000000E+03
        8500   8.039030000000E+03
        8600   8.096800000000E+03
        8700   8.337245000000E+03
        8800   8.457120000000E+03
        8900   8.586330000000E+03
        9000   8.641795000000E+03
        9100   8.851940000000E+03
        9200   8.932415000000E+03
        9300   8.908780000000E+03
        9400   9.104890000000E+03
        9500   9.249600000000E+03
        9600   9.412190000000E+03
        9700   9.463170000000E+03
        9800   9.490180000000E+03
        9900   9.627955000000E+03
       10000   9.771110000000E+03
       10100   9.786960000000E+03
