# x  y  P(x,y)
     0     0   9.490770509229E-03
     0     1   5.559894440106E-03
     0     2   5.610434389566E-03
     0     3   5.579054420946E-03
     0     4   5.631274368726E-03
     0     5   5.635744364256E-03
     0     6   5.592924407076E-03
     0     7   5.600104399896E-03
     0     8   5.594974405026E-03
     0     9   5.599664400336E-03
     0    10   5.579264420736E-03
     0    11   5.549324450676E-03
     0    12   5.627134372866E-03
     0    13   5.608204391796E-03
     0    14   5.598634401366E-03
     0    15   5.608294391706E-03
     0    16   5.574324425676E-03
     0    17   5.588394411606E-03
     0    18   5.583824416176E-03
     0    19   9.496130503869E-03

     1     0   5.578064421936E-03
     1     1   1.718068281932E-03
     1     2   1.718448281552E-03
     1     3   1.716938283062E-03
     1     4   1.731688268312E-03
     1     5   1.718458281542E-03
     1     6   1.717238282762E-03
     1     7   1.714978285022E-03
     1     8   1.707958292042E-03
     1     9   1.711108288892E-03
     1    10   1.721458278542E-03
     1    11   1.720158279842E-03
     1    12   1.728968271032E-03
     1    13   1.737228262772E-03
     1    14   1.731958268042E-03
     1    15   1.731208268792E-03
     1    16   1.730458269542E-03
     1    17   1.730358269642E-03
     1    18   1.722988277012E-03
     1    19   5.581734418266E-03

     2     0   5.563834436166E-03
     2     1   1.718768281232E-03
     2     2   1.718548281452E-03
     2     3   1.714948285052E-03
     2     4   1.717898282102E-03
     2     5   1.717778282222E-03
     2     6   1.720768279232E-03
     2     7   1.719038280962E-03
     2     8   1.718078281922E-03
     2     9   1.719798280202E-03
     2    10   1.722798277202E-03
     2    11   1.713228286772E-03
     2    12   1.710158289842E-03
     2    13   1.727518272482E-03
     2    14   1.723698276302E-03
     2    15   1.720208279792E-03
     2    16   1.732198267802E-03
     2    17   1.739458260542E-03
     2    18   1.733588266412E-03
     2    19   5.605574394426E-03

     3     0   5.567184432816E-03
     3     1   1.702978297022E-03
     3     2   1.699018300982E-03
     3     3   1.706748293252E-03
     3     4   1.719048280952E-03
     3     5   1.729878270122E-03
     3     6   1.722398277602E-03
     3     7   1.713628286372E-03
     3     8   1.718858281142E-03
     3     9   1.720418279582E-03
     3    10   1.710268289732E-03
     3    11   1.704038295962E-03
     3    12   1.702828297172E-03
     3    13   1.713678286322E-03
     3    14   1.710078289922E-03
     3    15   1.707858292142E-03
     3    16   1.715618284382E-03
     3    17   1.721948278052E-03
     3    18   1.727198272802E-03
     3    19   5.625274374726E-03

     4     0   5.530174469826E-03
     4     1   1.711878288122E-03
     4     2   1.707908292092E-03
     4     3   1.711648288352E-03
     4     4   1.726008273992E-03
     4     5   1.733198266802E-03
     4     6   1.728958271042E-03
     4     7   1.717908282092E-03
     4     8   1.719358280642E-03
     4     9   1.723838276162E-03
     4    10   1.706978293022E-03
     4    11   1.701508298492E-03
     4    12   1.706528293472E-03
     4    13   1.708278291722E-03
     4    14   1.710898289102E-03
     4    15   1.706778293222E-03
     4    16   1.699318300682E-03
     4    17   1.700068299932E-03
     4    18   1.711828288172E-03
     4    19   5.659994340006E-03

     5     0   5.566504433496E-03
     5     1   1.717808282192E-03
     5     2   1.715378284622E-03
     5     3   1.709918290082E-03
     5     4   1.716298283702E-03
     5     5   1.722908277092E-03
     5     6   1.728208271792E-03
     5     7   1.728578271422E-03
     5     8   1.729838270162E-03
     5     9   1.727318272682E-03
     5    10   1.716138283862E-03
     5    11   1.716688283312E-03
     5    12   1.716378283622E-03
     5    13   1.718098281902E-03
     5    14   1.719678280322E-03
     5    15   1.703718296282E-03
     5    16   1.694458305542E-03
     5    17   1.704798295202E-03
     5    18   1.711818288182E-03
     5    19   5.609124390876E-03

     6     0   5.558154441846E-03
     6     1   1.713808286192E-03
     6     2   1.713688286312E-03
     6     3   1.706968293032E-03
     6     4   1.710718289282E-03
     6     5   1.713118286882E-03
     6     6   1.729088270912E-03
     6     7   1.735488264512E-03
     6     8   1.724438275562E-03
     6     9   1.718628281372E-03
     6    10   1.706298293702E-03
     6    11   1.710368289632E-03
     6    12   1.711138288862E-03
