# TCRW Fig 3(b)  |J_Dr|_wall / |J_ω|_wall vs D_r  (ω = 1, OBC)
# T_floor =    100000000   N_burn_floor =     10000000
# T_use = max(T_floor,  100.0*max(L^2,1/D_r)/D_r);  N_burn_use = max(N_burn_floor,   10.0*max(L^2,1/D_r)/D_r)
# seed    = 20260421
# columns: L   D_r   ratio   |J_Dr|_wall   |J_ω|_wall   Jx_w_Dr   Jy_w_Dr   Jx_w_om   Jy_w_om
 49   6.81292E-03   6.97748E-01   1.25267E+05   1.79530E+05           3496        -125218         126946         126948
 49   1.00000E-02   7.14472E-01   1.60268E+05   2.24316E+05           4957        -160191         158617         158614
 49   1.46780E-02   7.29431E-01   2.02934E+05   2.78208E+05           7316        -202802         196732         196714
 49   2.15443E-02   7.15335E-01   2.49180E+05   3.48340E+05          10768        -248947         246307         246320
 49   3.16228E-02   7.03853E-01   2.81575E+05   4.00048E+05          15141        -281168         282885         282869
 49   4.64159E-02   7.06091E-01   3.18212E+05   4.50667E+05          22327        -317428         318671         318669
 49   6.81292E-02   7.10051E-01   3.39908E+05   4.78710E+05          32196        -338380         338508         338490
 49   1.00000E-01   7.13394E-01   3.47178E+05   4.86657E+05          45996        -344118         344060         344177
 49   1.46780E-01   7.22381E-01   3.33722E+05   4.61975E+05          64245        -327480         326694         326638
 49   2.15443E-01   7.31092E-01   2.96398E+05   4.05419E+05          85821        -283702         286757         286592
 49   3.16228E-01   7.90448E-01   2.50257E+05   3.16601E+05         109620        -224971         223937         223805
 49   4.64159E-01   9.62779E-01   1.90218E+05   1.97572E+05         126950        -141657         139490         139919
 49   6.81292E-01   1.71844E+00   1.22197E+05   7.11095E+04         111217         -50626          50232          50332
 49   1.00000E+00   1.00000E+15   0.00000E+00   0.00000E+00              0              0              0              0
