# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
9 5.19615242271 1.4511198649594685e-03
11 5.19615242271 1.3914169060602864e-03
13 5.19615242271 1.3502469762609658e-03
15 5.19615242271 1.3355863252598242e-03
17 5.19615242271 1.3502469762609651e-03
19 5.19615242271 1.3914169060602847e-03
21 5.19615242271 1.4511198649594670e-03
23 5.19615242271 1.5175416064827530e-03
25 5.19615242271 1.5770544785003232e-03
27 5.19615242271 1.6166453486646073e-03
29 5.19615242271 1.6263379733738054e-03
31 5.19615242271 1.6011481116510054e-03
33 5.19615242271 1.5421618509202542e-03
35 5.19615242271 1.4564941943648649e-03
37 5.19615242271 1.3561270171699366e-03
39 5.19615242271 1.2558690180608822e-03
41 5.19615242271 1.1708502620255779e-03
43 5.19615242271 1.1140191860113146e-03
45 5.19615242271 1.0940582214305950e-03
47 5.19615242271 1.1140191860113126e-03
49 5.19615242271 1.1708502620255755e-03
51 5.19615242271 1.2558690180608856e-03
53 5.19615242271 1.3561270171699386e-03
55 5.19615242271 1.4564941943648660e-03
57 5.19615242271 1.5421618509202555e-03
59 5.19615242271 1.6011481116510024e-03
61 5.19615242271 1.6263379733738050e-03

4 6.92820323028 1.5180802172252603e-03
6 6.92820323028 1.4855793103101800e-03
8 6.92820323028 1.4395577605904716e-03
10 6.92820323028 1.3914169060602847e-03
12 6.92820323028 1.3520926050843982e-03
14 6.92820323028 1.3301063821680170e-03
16 6.92820323028 1.3301063821680168e-03
18 6.92820323028 1.3520926050843974e-03
20 6.92820323028 1.3914169060602857e-03
22 6.92820323028 1.4395577605904725e-03
24 6.92820323028 1.4855793103101807e-03
26 6.92820323028 1.5180802172252580e-03
28 6.92820323028 1.5273280840353864e-03
30 6.92820323028 1.5071939880193471e-03
32 6.92820323028 1.4564941943648706e-03
34 6.92820323028 1.3794403277036431e-03
36 6.92820323028 1.2850836402552997e-03
38 6.92820323028 1.1858612841947420e-03
40 6.92820323028 1.0955422063995523e-03
42 6.92820323028 1.0269721864104605e-03
44 6.92820323028 9.9001609741713992e-04
46 6.92820323028 9.9001609741713797e-04
48 6.92820323028 1.0269721864104579e-03
50 6.92820323028 1.0955422063995523e-03
