# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
18 3.46410161514 1.3784500000000000e-03
20 3.46410161514 1.4358900000000000e-03
22 3.46410161514 1.5209500000000001e-03
24 3.46410161514 1.5965599999999999e-03
26 3.46410161514 1.6628100000000000e-03
28 3.46410161514 1.7006000000000000e-03
30 3.46410161514 1.7000100000000001e-03
32 3.46410161514 1.6735000000000001e-03
34 3.46410161514 1.6035699999999999e-03
36 3.46410161514 1.5017600000000000e-03
38 3.46410161514 1.4072399999999999e-03
40 3.46410161514 1.3100500000000001e-03
42 3.46410161514 1.2322699999999999e-03
44 3.46410161514 1.1981699999999999e-03
46 3.46410161514 1.1948099999999999e-03
48 3.46410161514 1.2277600000000000e-03
50 3.46410161514 1.3094000000000001e-03
52 3.46410161514 1.4061700000000000e-03
54 3.46410161514 1.5124299999999999e-03
56 3.46410161514 1.6076100000000000e-03
58 3.46410161514 1.6721699999999999e-03
60 3.46410161514 1.6989800000000001e-03

3 5.19615242271 1.6188800000000001e-03
5 5.19615242271 1.5807000000000000e-03
7 5.19615242271 1.5234400000000000e-03
9 5.19615242271 1.4465000000000001e-03
11 5.19615242271 1.3888100000000001e-03
13 5.19615242271 1.3527299999999999e-03
15 5.19615242271 1.3353000000000000e-03
17 5.19615242271 1.3500900000000000e-03
19 5.19615242271 1.3950300000000000e-03
21 5.19615242271 1.4512500000000001e-03
23 5.19615242271 1.5170299999999999e-03
25 5.19615242271 1.5853799999999999e-03
27 5.19615242271 1.6150699999999999e-03
29 5.19615242271 1.6265800000000001e-03
31 5.19615242271 1.6028600000000000e-03
33 5.19615242271 1.5402000000000000e-03
35 5.19615242271 1.4520100000000001e-03
37 5.19615242271 1.3503499999999999e-03
39 5.19615242271 1.2550199999999999e-03
41 5.19615242271 1.1648699999999999e-03
43 5.19615242271 1.1109399999999999e-03
45 5.19615242271 1.0948600000000000e-03
47 5.19615242271 1.1155300000000000e-03
49 5.19615242271 1.1785400000000001e-03
51 5.19615242271 1.2584100000000000e-03
53 5.19615242271 1.3587000000000000e-03
