# v=  1.0000 gamma=  1.0000 bias=  0.5000 gamma_r=  0.0000 N=1000000
# D_even_theory=  0.82142857 D_odd_theory=  0.49487166
# columns: t  <x>  <y>  <x^2>  <y^2>  <xy>  MSD  N_samples
  4.210729E+00   1.2280000000E-03  -1.1604740411E-04   6.3025320000E+00   6.3043500000E+00   5.9868336164E-03   1.2606882000E+01 1000000
  4.980307E+00   5.3050000000E-04  -1.6714290293E-04   7.6675147500E+00   7.6749232500E+00   6.0011230355E-03   1.5342438000E+01 1000000
  5.890537E+00   1.8800000000E-04  -6.9282032303E-05   9.2602035000E+00   9.2467455000E+00   7.1187288191E-04   1.8506949000E+01 1000000
  6.967127E+00   4.3300000000E-04   5.1441908985E-04   1.1096398000E+01   1.1073777000E+01  -4.8315557277E-03   2.2170175000E+01 1000000
  8.240481E+00  -3.7450000000E-04  -9.4656576634E-04   1.3217900250E+01   1.3202706750E+01  -9.4669567015E-03   2.6420607000E+01 1000000
  9.746560E+00  -1.3125000000E-03  -2.1416808236E-03   1.5703421250E+01   1.5690414750E+01  -5.8759823647E-04   3.1393836000E+01 1000000
  1.152790E+01  -5.5150000000E-03  -4.2521847326E-03   1.8627367500E+01   1.8625159500E+01   9.3981076819E-03   3.7252527000E+01 1000000
  1.363481E+01  -5.9315000000E-03  -6.1375220366E-03   2.2098648250E+01   2.2109058750E+01   9.9441366990E-03   4.4207707000E+01 1000000
  1.612678E+01  -7.3440000000E-03  -5.3208600809E-03   2.6202373000E+01   2.6197458000E+01   5.0878992472E-03   5.2399831000E+01 1000000
  1.907421E+01  -6.9745000000E-03  -4.5908006655E-03   3.1051504750E+01   3.1030313250E+01   6.0678069916E-03   6.2081818000E+01 1000000
  2.256033E+01  -6.8775000000E-03  -5.1745017876E-03   3.6766864250E+01   3.6791910750E+01  -5.4052975577E-03   7.3558775000E+01 1000000
  2.668359E+01  -5.7570000000E-03  -4.0651232454E-03   4.3498409500E+01   4.3585339500E+01  -9.2526154140E-03   8.7083749000E+01 1000000
  3.156044E+01  -5.2050000000E-03  -7.3127185096E-03   5.1522617500E+01   5.1666142500E+01  -2.2979118064E-02   1.0318876000E+02 1000000
  3.732861E+01  -4.9350000000E-03  -6.7463378955E-03   6.0980978000E+01   6.1053057000E+01   3.9464777650E-03   1.2203403500E+02 1000000
  4.415101E+01  -6.9700000000E-04  -7.1897429022E-03   7.2196534500E+01   7.2225502500E+01   3.6563592548E-03   1.4442203700E+02 1000000
  5.222032E+01   1.6235000000E-03  -2.9990459733E-03   8.5526371250E+01   8.5487589750E+01  -3.9919007975E-02   1.7101396100E+02 1000000
  6.176441E+01  -4.9000000000E-05   3.9542719937E-03   1.0134117800E+02   1.0111767000E+02   1.7824534861E-02   2.0245884800E+02 1000000
  7.305284E+01   1.6940000000E-03   5.4039985196E-03   1.1992027950E+02   1.1969831850E+02   1.4082006078E-01   2.3961859800E+02 1000000
  8.640441E+01   5.5990000000E-03   4.5899346401E-03   1.4165768250E+02   1.4170900950E+02   1.2100972967E-01   2.8336669200E+02 1000000
  1.021962E+02  -1.6835000000E-03   7.3742063132E-03   1.6760273475E+02   1.6756866525E+02   1.3848915341E-01   3.3517140000E+02 1000000
  1.208742E+02   1.6495000000E-03   8.9122674303E-03   1.9848536225E+02   1.9818928875E+02   9.6764915479E-02   3.9667465100E+02 1000000
  1.429659E+02   4.6935000000E-03   5.0653825867E-03   2.3472489625E+02   2.3477082075E+02   7.8347153217E-02   4.6949571700E+02 1000000
  1.690952E+02   2.7800000000E-04   4.4634949311E-03   2.7765441650E+02   2.7720938850E+02  -7.9500266042E-02   5.5486380500E+02 1000000
  2.000000E+02  -8.2150000000E-04  -9.4838441968E-03   3.2921954275E+02   3.2809091625E+02  -1.4508047276E-01   6.5731045900E+02 1000000
