# n1 n2 x y probability
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 6.831597358042909272e-11
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 6.383053785542839814e-11
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 6.575266288698039840e-11
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 7.237173634027537418e-11
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 8.228398263147674668e-11
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 9.446420118819344230e-11
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 1.081970289802634020e-10
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 1.229798943518255846e-10
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 1.384402305653686486e-10
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 1.542773918851232014e-10
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 1.702268623882941936e-10
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 1.860407841932401428e-10
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 2.014791218148305104e-10
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 2.163072157620587788e-10
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 2.302969171583971188e-10
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 2.432295769350084754e-10
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 2.548998693377000671e-10
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 2.651198546370216038e-10
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 2.737229263691984778e-10
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 2.805674202267975989e-10
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 2.855397347836379723e-10
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 2.885568584610075225e-10
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 2.895682269490128510e-10
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 2.885568582852729497e-10
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 2.855397344696424348e-10
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 2.805674197494643928e-10
