# x  P_kmc  P_full_original_buggy  P_old_c3_sign  P_corrected_theory
32 5.6525000000000000e-04 7.9427928718777850e-06 5.6996208005410855e-04 5.6219660568232758e-04
33 5.9414999999999999e-04 1.1961291356090288e-05 5.9533905787346271e-04 6.0174434239929249e-04
34 6.3774999999999997e-04 1.8262417267529190e-05 6.2742447400527526e-04 6.4894858148748218e-04
35 6.9160000000000001e-04 2.7582857103360861e-05 6.5887497525986738e-04 6.9702572533347751e-04
36 7.4434999999999996e-04 4.0840661485920146e-05 6.8270360065066256e-04 7.3902759315924650e-04
37 7.6570000000000002e-04 5.9105627519531405e-05 6.9336405158510980e-04 7.6881764270277119e-04
38 7.8399999999999997e-04 8.3547191694133662e-05 6.8752222525534409e-04 7.8188874905832698e-04
39 7.6990000000000001e-04 1.1535664095126922e-04 6.6436884824207134e-04 7.7587266423108088e-04
40 7.4865000000000001e-04 1.5564166109668343e-04 6.2543652855363960e-04 7.5065997488874177e-04
41 7.1274999999999995e-04 2.0529172479124460e-04 5.7400947590455686e-04 7.0814371020369072e-04
42 6.5799999999999995e-04 2.6481315003086764e-04 5.1431044970770318e-04 6.5168700320066887e-04
43 5.9060000000000004e-04 3.3413502404395216e-04 4.5068316368444876e-04 5.8546531903282248e-04
44 5.1785000000000004e-04 4.1239493744092253e-04 3.8695192003200323e-04 5.1383356454869761e-04
45 4.4920000000000002e-04 4.9772923012906612e-04 3.2605493861096509e-04 4.4082615518310910e-04
46 3.7359999999999997e-04 5.8711515237437303e-04 2.6995141402464859e-04 3.6983689715691805e-04
47 3.0210000000000002e-04 6.7633477294783367e-04 2.1973021505359734e-04 3.0347046506937789e-04
48 2.5319999999999997e-04 7.6013951256477324e-04 1.7581888430652756e-04 2.4352435610828523e-04
49 1.9070000000000000e-04 8.3267545953492862e-04 1.3820291174465463e-04 1.9105217177934117e-04
50 1.5249999999999999e-04 8.8817568824630668e-04 1.0660032505120286e-04 1.4646826210495275e-04
51 1.0995000000000000e-04 9.2184412515712198e-04 8.0575116929367685e-05 1.0966893770230341e-04
52 8.1100000000000006e-05 9.3077074349931770e-04 5.9600308809604033e-05 8.0157911174480145e-05
53 5.7450000000000001e-05 9.1466460524599561e-04 4.3092498821980629e-05 5.7169932719047059e-05
54 3.9350000000000001e-05 8.7619872841192075e-04 3.0437576488599899e-05 3.9787835235688742e-05
55 2.7149999999999999e-05 8.2083674484521895e-04 2.1018667904374956e-05 2.7047508011933058e-05
56 1.8950000000000000e-05 7.5613505610543108e-04 1.4248630810262659e-05 1.8025367567137871e-05
57 1.2400000000000000e-05 6.9064379316661714e-04 9.6041344451084664e-06 1.1904759262877589e-05
58 8.6000000000000007e-06 6.3262152706878606e-04 6.6571408946886451e-06 8.0209224270652350e-06
59 5.7500000000000000e-06 5.8880698442514545e-04 5.1011296122953202e-06 5.8874311219069769e-06
60 4.8999999999999997e-06 5.6345860250583599e-04 4.7717647228335638e-06 5.2091857090246399e-06
