# n1 n2 x y probability Jx Jy Jmag
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 3.697684284819945017e-11 -1.665089178747508297e-12 1.004184693529860654e-12 1.944455932105871270e-12
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 3.718941367715469045e-11 6.923876602764645043e-12 -4.362570766301924544e-12 8.183647774758139436e-12
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 4.120580237810380474e-11 1.517661054817166529e-11 -9.305060585689868984e-12 1.780206898745857970e-11
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 4.883101644480958831e-11 2.343094063387032570e-11 -1.365946663497982850e-11 2.712176262229434517e-11
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 5.955235754923562322e-11 3.210355649585564961e-11 -1.753337343039465021e-11 3.657946860647738787e-11
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 7.288950574659394857e-11 4.151201737144753670e-11 -2.106823594517637298e-11 4.655231629134025867e-11
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 8.846755273400533536e-11 5.185057354177917907e-11 -2.436349674186276691e-11 5.728928303009393225e-11
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 1.059990556014425577e-10 6.320916115599997668e-11 -2.746487544895504450e-11 6.891819380593044936e-11
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 1.252459894134855760e-10 7.559820314390288495e-11 -3.037452908661527551e-11 8.147208316853353711e-11
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 1.459862551831727307e-10 8.896853808366389072e-11 -3.306552103839223227e-11 9.491432689686374325e-11
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 1.679908121446172110e-10 1.032252013189025964e-10 -3.549435197365843022e-11 1.091571857889251487e-10
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 1.910107160222448717e-10 1.182365642286523708e-10 -3.761019169679988124e-11 1.240742182730412143e-10
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 2.147715715868642309e-10 1.338406693700542058e-10 -3.936123030632145930e-11 1.395085346086448053e-10
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 2.389730162254041182e-10 1.498501779074949615e-10 -4.069896717025634677e-11 1.552787227782141873e-10
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 2.632914694535748383e-10 1.660568316235268902e-10 -4.158114456410915839e-11 1.711837110010929128e-10
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 2.873849731580124240e-10 1.822359231109463373e-10 -4.197380682573270859e-11 1.870073050218698516e-10
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 3.108993700947568659e-10 1.981509971076658891e-10 -4.185276674307155350e-11 2.025227684454569327e-10
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 3.334753280244459394e-10 2.135588401528913465e-10 -4.120462802771232761e-11 2.174975852241820440e-10
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 3.547558593656848055e-10 2.282147197325978569e-10 -4.002743288302334343e-11 2.316984110559093240e-10
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 3.743940627227188856e-10 2.418777818281514394e-10 -3.833096473158772979e-11 2.448961498255148991e-10
