# n1 n2 x y probability Jx Jy Jmag
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 1.700053920786251639e-10 4.170062128425362388e-11 -7.531848116760442154e-11 8.609190101796759287e-11
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 2.251595690335218346e-10 7.264420260288889928e-11 -1.165165785386470425e-10 1.373072949488200974e-10
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 2.982635181844112719e-10 1.103091181422496680e-10 -1.635576725529563088e-10 1.972795321270325605e-10
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 3.902815227473863843e-10 1.558617745883901602e-10 -2.165194563851092517e-10 2.667837472020088340e-10
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 5.015018639639299268e-10 2.103700113674137818e-10 -2.755490061092564475e-10 3.466739050614061427e-10
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 6.317953760788783389e-10 2.746404988800716372e-10 -3.406121853713975180e-10 4.375432143783901291e-10
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 7.806778348532305617e-10 3.491619574345171726e-10 -4.113915239144180729e-10 5.395897130859064066e-10
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 9.472845541885990825e-10 4.340869080119199270e-10 -4.872658571703618221e-10 6.525790827718250237e-10
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 1.130321091103672533e-09 5.292259624037606343e-10 -5.673301296860938542e-10 7.758502402730997775e-10
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 1.328023227332732588e-09 6.340468609936388918e-10 -6.504325859213390301e-10 9.083380267082332024e-10
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 1.538140214805803067e-09 7.476778448710038331e-10 -7.352187911841000073e-10 1.048603276087366642e-09
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 1.757944886343698013e-09 8.689172475892200374e-10 -8.201785603252980308e-10 1.194868216154109729e-09
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 1.984269447475841450e-09 9.962512832962755144e-10 -9.036947273686953414e-10 1.345057909438644322e-09
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 2.213563943025810271e-09 1.127881311609564516e-09 -9.840934571720088316e-10 1.496848751720382719e-09
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 2.441973851122166022e-09 1.261761003162352326e-09 -1.059695650330499631e-09 1.647724400629743074e-09
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 2.665433125417978221e-09 1.395643050561993220e-09 -1.128868579492597624e-09 1.795038660961825003e-09
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 2.879768925127817129e-09 1.527134425101360689e-09 -1.190076518370120733e-09 1.936084107652767173e-09
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 3.080814161808594589e-09 1.653758668782385128e-09 -1.241928884513608047e-09 2.068164666742496098e-09
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 3.264523869187462848e-09 1.773023318217942611e-09 -1.283224326978616825e-09 2.188669998034031619e-09
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 3.427091322773419639e-09 1.882490271226509439e-09 -1.312989230244280409e-09 2.295149306690073492e-09
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 3.565059842520047304e-09 1.979846722830264445e-09 -1.330509249673446835e-09 2.385382130680184480e-09
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 3.675426335678348801e-09 2.062974212143956090e-09 -1.335352719198267665e-09 2.457443689007172998e-09
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 3.755732892812486944e-09 2.130013336896154222e-09 -1.327385056051597711e-09 2.509762519121000950e-09
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 3.804143137097802891e-09 2.179421802836640199e-09 -1.306773615687875023e-09 2.541168368553660432e-09
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 3.819500539516204621e-09 2.210023679990409709e-09 -1.273982801970328753e-09 2.550928624214037772e-09
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 3.801366532813288542e-09 2.221048026273092679e-09 -1.229759601116824705e-09 2.538771949496569725e-09
-4.500000000000000000e+01 -1.900000000000000000e+01 -5.450000000000000000e+01 -1.645448267190433356e+01 3.750036962968251302e-09 2.212155402041159277e-09 -1.175110065045814296e-09 2.504898239001309610e-09
-4.500000000000000000e+01 -1.800000000000000000e+01 -5.400000000000000000e+01 -1.558845726811989429e+01 3.666536182757490923e-09 2.183451224235431087e-09 -1.111267606488185408e-09 2.449974477794653014e-09
-4.500000000000000000e+01 -1.700000000000000000e+01 -5.350000000000000000e+01 -1.472243186433545681e+01 3.552588889831118102e-09 2.135485375050480567e-09 -1.039654272139431330e-09 2.375116585061091787e-09
-4.500000000000000000e+01 -1.600000000000000000e+01 -5.300000000000000000e+01 -1.385640646055101755e+01 3.410570608801593724e-09 2.069237976985396380e-09 -9.618364161221210773e-10 2.281857816950316216e-09
-4.500000000000000000e+01 -1.500000000000000000e+01 -5.250000000000000000e+01 -1.299038105676657828e+01 3.243438486906877435e-09 1.986091744095100735e-09 -8.794763983848025063e-10 2.172104774470749007e-09
-4.500000000000000000e+01 -1.400000000000000000e+01 -5.200000000000000000e+01 -1.212435565298214080e+01 3.054644783875948635e-09 1.887791807187792868e-09 -7.942820692631776915e-10 2.048082496590005201e-09
-4.500000000000000000e+01 -1.300000000000000000e+01 -5.150000000000000000e+01 -1.125833024919770153e+01 2.848036067760476826e-09 1.776394358867026730e-09 -7.079558693350096639e-10 1.912270491102261558e-09
-4.500000000000000000e+01 -1.200000000000000000e+01 -5.100000000000000000e+01 -1.039230484541326405e+01 2.627741660605218501e-09 1.654205854395697269e-09 -6.221453717272920024e-10 1.767331851203584505e-09
-4.500000000000000000e+01 -1.100000000000000000e+01 -5.050000000000000000e+01 -9.526279441628824785e+00 2.398055298838923012e-09 1.523714813522678947e-09 -5.383970212186536428e-10 1.616037804448142089e-09
-4.500000000000000000e+01 -1.000000000000000000e+01 -5.000000000000000000e+01 -8.660254037844385522e+00 2.163314287089077734e-09 1.387518467900601947e-09 -4.581146812094067589e-10 1.461190117645486339e-09
-4.500000000000000000e+01 -9.000000000000000000e+00 -4.950000000000000000e+01 -7.794228634059947147e+00 1.927780639169969433e-09 1.248246569684152383e-09 -3.825243938893572303e-10 1.305543722227897500e-09
-4.500000000000000000e+01 -8.000000000000000000e+00 -4.900000000000000000e+01 -6.928203230275508773e+00 1.695528815394463441e-09 1.108484607637880650e-09 -3.126464785778747835e-10 1.151731716128913354e-09
-4.500000000000000000e+01 -7.000000000000000000e+00 -4.850000000000000000e+01 -6.062177826491070398e+00 1.470344680021143847e-09 9.706984742341847096e-10 -2.492757303281510742e-10 1.002194550779042664e-09
