# n1 n2 x y probability Jx Jy Jmag
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 6.831597358042909272e-11 1.954943683262177478e-12 4.027666991703938487e-12 4.477042126313772526e-12
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 6.383053785542839814e-11 1.531291128994340991e-11 -4.206840916375865425e-12 1.588026330604661062e-11
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 6.575266288698039840e-11 2.649044067498145987e-11 -1.037325495372013381e-11 2.844903979907918723e-11
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 7.237173634027537418e-11 3.650533123322760428e-11 -1.491826356315566415e-11 3.943594548362496823e-11
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 8.228398263147674668e-11 4.608140770457534834e-11 -1.830840814343216299e-11 4.958521901516408144e-11
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 9.446420118819344230e-11 5.565972196121348107e-11 -2.090356191108915232e-11 5.945555944880451847e-11
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 1.081970289802634020e-10 6.546581730976190121e-11 -2.294006403042726548e-11 6.936872331069113976e-11
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 1.229798943518255846e-10 7.557778952172739091e-11 -2.455437152134850265e-11 7.946646732930146200e-11
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 1.384402305653686486e-10 8.597872634259574461e-11 -2.581476157875727311e-11 8.977050350122278017e-11
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 1.542773918851232014e-10 9.659247842978649788e-11 -2.674841315096765725e-11 1.002276633235736435e-10
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 1.702268623882941936e-10 1.073065825490382947e-10 -2.736080904393423920e-11 1.107398597158773862e-10
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 1.860407841932401428e-10 1.179866720041849290e-10 -2.764828389024977093e-11 1.211828468583691894e-10
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 2.014791218148305104e-10 1.284857731256144036e-10 -2.760558173557789538e-11 1.314178908621140851e-10
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 2.163072157620587788e-10 1.386507443703323247e-10 -2.723015155865800045e-11 1.412993632977683412e-10
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 2.302969171583971188e-10 1.483271995395576207e-10 -2.652443926202144289e-11 1.506801380455048653e-10
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 2.432295769350084754e-10 1.573636388115934341e-10 -2.549698532921333140e-11 1.594158432556305151e-10
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 2.548998693377000671e-10 1.656151356762083976e-10 -2.416280501320606536e-11 1.673684985627675589e-10
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 2.651198546370216038e-10 1.729467159599743317e-10 -2.254332006891872501e-11 1.744097699128972400e-10
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 2.737229263691984778e-10 1.792364559578362413e-10 -2.066598818966095547e-11 1.804239180712484611e-10
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 2.805674202267975989e-10 1.843782726158768582e-10 -1.856371268662562304e-11 1.853104391056429381e-10
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 2.855397347836379723e-10 1.882843582101515582e-10 -1.627408329459738691e-11 1.889863628246444688e-10
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 2.885568584610075225e-10 1.908872065550148770e-10 -1.383848420558949025e-11 1.913881638751081846e-10
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 2.895682269490128510e-10 1.921411822882420370e-10 -1.130110194900691504e-11 1.924732418711372347e-10
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 2.885568582852729497e-10 1.920235942241103375e-10 -8.707861780592898338e-12 1.922209343321785110e-10
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 2.855397344696424348e-10 1.905352440403068986e-10 -6.105324295441449789e-12 1.906330354535955452e-10
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 2.805674197494643928e-10 1.877004362562065560e-10 -3.539572062650992381e-12 1.877338071343490349e-10
-4.500000000000000000e+01 -1.900000000000000000e+01 -5.450000000000000000e+01 -1.645448267190433356e+01 2.737229257520570657e-10 1.835664475846433631e-10 -1.055117232059279774e-12 1.835694799012597632e-10
-4.500000000000000000e+01 -1.800000000000000000e+01 -5.400000000000000000e+01 -1.558845726811989429e+01 2.651198538961310768e-10 1.782024679938323012e-10 1.306139192383369053e-12 1.782072546185555831e-10
-4.500000000000000000e+01 -1.700000000000000000e+01 -5.350000000000000000e+01 -1.472243186433545681e+01 2.548998685529265230e-10 1.716980375828208193e-10 3.505866595542325639e-12 1.717338266340603411e-10
-4.500000000000000000e+01 -1.600000000000000000e+01 -5.300000000000000000e+01 -1.385640646055101755e+01 2.432295760980913266e-10 1.641610129664423569e-10 5.510150934980890954e-12 1.642534624946905799e-10
-4.500000000000000000e+01 -1.500000000000000000e+01 -5.250000000000000000e+01 -1.299038105676657828e+01 2.302969162718573793e-10 1.557151017131060881e-10 7.290195087127978516e-12 1.558856627337208428e-10
-4.500000000000000000e+01 -1.400000000000000000e+01 -5.200000000000000000e+01 -1.212435565298214080e+01 2.163072149378108058e-10 1.464969967912477147e-10 8.822829010682948459e-12 1.467624351821902352e-10
-4.500000000000000000e+01 -1.300000000000000000e+01 -5.150000000000000000e+01 -1.125833024919770153e+01 2.014791210350216010e-10 1.366531186034479974e-10 1.009076552508701317e-11 1.370251742306146817e-10
-4.500000000000000000e+01 -1.200000000000000000e+01 -5.100000000000000000e+01 -1.039230484541326405e+01 1.860407835626948892e-10 1.263359112039626525e-10 1.108249253667408138e-11 1.268210712009679104e-10
-4.500000000000000000e+01 -1.100000000000000000e+01 -5.050000000000000000e+01 -9.526279441628824785e+00 1.702268618573989490e-10 1.156995121649130353e-10 1.179161011362782577e-11 1.162988356961094836e-10
-4.500000000000000000e+01 -1.000000000000000000e+01 -5.000000000000000000e+01 -8.660254037844385522e+00 1.542773915048043224e-10 1.048943801886214854e-10 1.221527874999934176e-11 1.056032387291945395e-10
-4.500000000000000000e+01 -9.000000000000000000e+00 -4.950000000000000000e+01 -7.794228634059947147e+00 1.384402303185421673e-10 9.406004489192130777e-11 1.235123175786103812e-11 9.486751272699547214e-11
-4.500000000000000000e+01 -8.000000000000000000e+00 -4.900000000000000000e+01 -6.928203230275508773e+00 1.229798942338959698e-10 8.331447608036162397e-11 1.219253075504691405e-11 8.420189861729909442e-11
-4.500000000000000000e+01 -7.000000000000000000e+00 -4.850000000000000000e+01 -6.062177826491070398e+00 1.081970290587533425e-10 7.273757659076044668e-11 1.171901613439831875e-11 7.367557524346199783e-11
-4.500000000000000000e+01 -6.000000000000000000e+00 -4.800000000000000000e+01 -5.196152422706632024e+00 9.446420146627182822e-11 6.234508054399766916e-11 1.088452155412897203e-11 6.328808637887430064e-11
-4.500000000000000000e+01 -5.000000000000000000e+00 -4.750000000000000000e+01 -4.330127018922192761e+00 8.228398308586083489e-11 5.204803253958603577e-11 9.600070851572300701e-12 5.292597709629001030e-11
-4.500000000000000000e+01 -4.000000000000000000e+00 -4.700000000000000000e+01 -3.464101615137754386e+00 7.237173697798072901e-11 4.159305544970185297e-11 7.716757074811470529e-12 4.230284389250474415e-11
