# n1 n2 x y probability Jx Jy Jmag
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 2.438438784349688773e-10 8.588585856371632396e-12 4.958622284639457412e-12 9.917244676521289888e-12
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 2.366462035638093206e-10 4.464311097288319044e-11 -4.611740241850160484e-11 6.418584083088093017e-11
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 2.537184995741258199e-10 7.761020566956139801e-11 -8.986673103625494061e-11 1.187407822578839418e-10
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 2.901854119912634439e-10 1.103168074816051661e-10 -1.288038705164935731e-10 1.695884284760112195e-10
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 3.417732786177960658e-10 1.446713736123432612e-10 -1.651073883386838061e-10 2.195227915887166918e-10
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 4.051228655135887767e-10 1.818042734326334124e-10 -2.002967403723679683e-10 2.705024547802912893e-10
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 4.776824523563196217e-10 2.222560013374818077e-10 -2.352251926600471559e-10 3.236180177191669048e-10
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 5.574614184821913779e-10 2.661412657280572572e-10 -2.702042895630075033e-10 3.792644610579562035e-10
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 6.427886811798783523e-10 3.132694693317824198e-10 -3.051551689548839207e-10 4.373298955654647779e-10
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 7.321310618264135524e-10 3.632260868191419403e-10 -3.397408406619727674e-10 4.973500064940693032e-10
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 8.239794661219322348e-10 4.154266034300068080e-10 -3.734671768684113548e-10 5.586206181617837715e-10
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 9.167914894146441036e-10 4.691541199722478096e-10 -4.057554841312651431e-10 6.202766327934106767e-10
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 1.008974696454217854e-09 5.235887151199489562e-10 -4.359940165134400566e-10 6.813486075691949819e-10
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 1.098896720648668490e-09 5.778335803602022941e-10 -4.635754154122381371e-10 7.408061908262643387e-10
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 1.184911853402325346e-09 6.309405937501261222e-10 -4.879251356872132049e-10 7.975944902499936034e-10
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 1.265396982367307350e-09 6.819364375333994088e-10 -5.085239649587496403e-10 8.506667548300636422e-10
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 1.338792041873906411e-09 7.298494141360752979e-10 -5.249262792197858124e-10 8.990148863785854402e-10
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 1.403641627439884014e-09 7.737365745242019914e-10 -5.367747465543550282e-10 9.416981550873603189e-10
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 1.458635330292488294e-09 8.127104877532484056e-10 -5.438116771216608061e-10 9.778698671489967993e-10
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 1.502644904657793649e-09 8.459648515890754141e-10 -5.458869830024266230e-10 1.006801434412773482e-09
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 1.534756748175233344e-09 8.727981119618880369e-10 -5.429626471669007892e-10 1.027903196056284622e-09
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 1.554298465460232111e-09 8.926342913148686522e-10 -5.351136346737215920e-10 1.040741360783224985e-09
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 1.560858547642279943e-09 9.050403037494473844e-10 -5.225252629696127607e-10 1.045050525980612676e-09
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 1.554298465421931994e-09 9.097391472147419897e-10 -5.054871551777101610e-10 1.040741360773492171e-09
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 1.534756748189884988e-09 9.066185017631332585e-10 -4.843840137145484386e-10 1.027903196065390433e-09
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 1.502644904700748725e-09 8.957344207180554411e-10 -4.596835606597791051e-10 1.006801434444728709e-09
-4.500000000000000000e+01 -1.900000000000000000e+01 -5.450000000000000000e+01 -1.645448267190433356e+01 1.458635330356142738e-09 8.773099711718629623e-10 -4.319220897459988361e-10 9.778698671746286449e-10
-4.500000000000000000e+01 -1.800000000000000000e+01 -5.400000000000000000e+01 -1.558845726811989429e+01 1.403641627551023588e-09 8.517288538844801299e-10 -4.016881561382954280e-10 9.416981551012797007e-10
-4.500000000000000000e+01 -1.700000000000000000e+01 -5.350000000000000000e+01 -1.472243186433545681e+01 1.338792042086737707e-09 8.195241999683015847e-10 -3.696049940320812915e-10 8.990148863879505723e-10
-4.500000000000000000e+01 -1.600000000000000000e+01 -5.300000000000000000e+01 -1.385640646055101755e+01 1.265396982605849282e-09 7.813628908305209017e-10 -3.363122962596962812e-10 8.506667548355808335e-10
-4.500000000000000000e+01 -1.500000000000000000e+01 -5.250000000000000000e+01 -1.299038105676657828e+01 1.184911853634622271e-09 7.380258594902070869e-10 -3.024480147045276968e-10 7.975944902486282384e-10
-4.500000000000000000e+01 -1.400000000000000000e+01 -5.200000000000000000e+01 -1.212435565298214080e+01 1.098896721016482001e-09 6.903848764274475415e-10 -2.686308521500978494e-10 7.408061907993410573e-10
-4.500000000000000000e+01 -1.300000000000000000e+01 -5.150000000000000000e+01 -1.125833024919770153e+01 1.008974696907319269e-09 6.393762517003557371e-10 -2.354441202817696312e-10 6.813486075524430235e-10
-4.500000000000000000e+01 -1.200000000000000000e+01 -5.100000000000000000e+01 -1.039230484541326405e+01 9.167914900488909387e-10 5.859716168943999935e-10 -2.034216442801207848e-10 6.202766327756233984e-10
-4.500000000000000000e+01 -1.100000000000000000e+01 -5.050000000000000000e+01 -9.526279441628824785e+00 8.239794667983734495e-10 5.311453642487162094e-10 -1.730364036780309806e-10 5.586206180948998083e-10
-4.500000000000000000e+01 -1.000000000000000000e+01 -5.000000000000000000e+01 -8.660254037844385522e+00 7.321310627207752928e-10 4.758372420210322877e-10 -1.446925982937921233e-10 4.973500064292662162e-10
