# bias square_even square_odd triangular_even triangular_odd
-5.889999999999999680e-01 6.110044356374337848e-01 -1.417544083936323751e-01 7.459566637034906744e-01 -2.529820201966618831e-01
-5.699999999999999512e-01 6.140918093906559960e-01 -1.383548875684492141e-01 7.525428669065470366e-01 -2.480724868620872159e-01
-5.509999999999999343e-01 6.171286156294580882e-01 -1.348585781412209583e-01 7.590817122983757326e-01 -2.429236101943133830e-01
-5.320000000000000284e-01 6.201109819725356687e-01 -1.312660282729259942e-01 7.655625653733333369e-01 -2.375328283501055848e-01
-5.129999999999999005e-01 6.230350008296298148e-01 -1.275779702837333829e-01 7.719743911012135751e-01 -2.318981014859237688e-01
-4.939999999999999947e-01 6.258967392611815006e-01 -1.237953261300157454e-01 7.783057783127518281e-01 -2.260179551425668676e-01
-4.749999999999999778e-01 6.286922494319614474e-01 -1.199192123201211629e-01 7.845449685954830610e-01 -2.198915230777006569e-01
-4.559999999999999609e-01 6.314175796277852193e-01 -1.159509442068467483e-01 7.906798898224145500e-01 -2.135185890751215010e-01
-4.369999999999999440e-01 6.340687857977713726e-01 -1.118920395957507113e-01 7.966981943870714566e-01 -2.068996272249794544e-01
-4.179999999999999272e-01 6.366419435779082647e-01 -1.077442216103770833e-01 8.025873021626940274e-01 -2.000358401393091401e-01
-3.990000000000000213e-01 6.391331607449938224e-01 -1.035094207581683523e-01 8.083344481411147697e-01 -1.929291945433700972e-01
-3.800000000000000044e-01 6.415385900434347199e-01 -9.918977614433671652e-02 8.139267346386356294e-01 -1.855824536667004532e-01
-3.609999999999999876e-01 6.438544423210146306e-01 -9.478763578525753464e-02 8.193511878829313755e-01 -1.779992058497090746e-01
-3.419999999999999707e-01 6.460769999036741762e-01 -9.030555597803768819e-02 8.245948187176329602e-01 -1.701838887831954861e-01
-3.229999999999999538e-01 6.482026301336815122e-01 -8.574629968878605402e-02 8.296446870811342578e-01 -1.621418088104448207e-01
-3.039999999999999369e-01 6.502277989904441391e-01 -8.111283392872999098e-02 8.344879698348097730e-01 -1.538791547453347286e-01
-2.849999999999999201e-01 6.521490847086831577e-01 -7.640832609464980052e-02 8.391120314350180021e-01 -1.454030056958678929e-01
-2.660000000000000142e-01 6.539631913049024359e-01 -7.163613925806941451e-02 8.435044968648719443e-01 -1.367213324310448397e-01
-2.469999999999999973e-01 6.556669619200963250e-01 -6.679982639617580709e-02 8.476533261678681486e-01 -1.278429918900572115e-01
-2.279999999999999805e-01 6.572573918845656671e-01 -6.190312356645397140e-02 8.515468898582079227e-01 -1.187777145061178485e-01
-2.089999999999999636e-01 6.587316414095942818e-01 -5.694994203640346003e-02 8.551740444241318073e-01 -1.095360841020945469e-01
-1.899999999999999467e-01 6.600870478106819483e-01 -5.194435938935297592e-02 8.585242070929582914e-01 -1.001295102104539786e-01
-1.709999999999999298e-01 6.613211371680307593e-01 -4.689060963715552255e-02 8.615874289916414241e-01 -9.057019277427727499e-02
-1.520000000000000240e-01 6.624316353321273443e-01 -4.179307238032223953e-02 8.643544658163344607e-01 -8.087107929745540602e-02
-1.330000000000000071e-01 6.634164781855005355e-01 -3.665626106578103588e-02 8.668168451200040092e-01 -7.104581462836073724e-02
-1.139999999999999902e-01 6.642738210761308659e-01 -3.148481040178592594e-02 8.689669293397255245e-01 -6.110868367981406313e-02
-9.499999999999997335e-02 6.650020473434334889e-01 -2.628346299841745337e-02 8.707979737154140087e-01 -5.107454750626792134e-02
-7.599999999999995648e-02 6.655997758642702156e-01 -2.105705531045637749e-02 8.723041782996061588e-01 -4.095877327393818157e-02
-5.699999999999993960e-02 6.660658675539188334e-01 -1.581050296704889294e-02 8.734807333230751869e-01 -3.077715876819222401e-02
-3.800000000000003375e-02 6.663994307653222648e-01 -1.054878557938818476e-02 8.743238572625846583e-01 -2.054585218196736812e-02
-1.900000000000001688e-02 6.665998255391025751e-01 -5.276931123495320203e-03 8.748308270535755105e-01 -1.028126801662478107e-02
0.000000000000000000e+00 6.666666666666666297e-01 -3.816391647148975608e-17 8.749999999999998890e-01 -9.301677555319121904e-17
1.900000000000001688e-02 6.665998255391023530e-01 5.276931123495292447e-03 8.748308270535753994e-01 1.028126801662473944e-02
3.800000000000003375e-02 6.663994307653222648e-01 1.054878557938812578e-02 8.743238572625846583e-01 2.054585218196742363e-02
5.699999999999993960e-02 6.660658675539188334e-01 1.581050296704890681e-02 8.734807333230750759e-01 3.077715876819214075e-02
7.600000000000006750e-02 6.655997758642702156e-01 2.105705531045639137e-02 8.723041782996059368e-01 4.095877327393813994e-02
9.499999999999997335e-02 6.650020473434334889e-01 2.628346299841746725e-02 8.707979737154136757e-01 5.107454750626802542e-02
1.140000000000001013e-01 6.642738210761308659e-01 3.148481040178597451e-02 8.689669293397255245e-01 6.110868367981409782e-02
1.330000000000000071e-01 6.634164781855007575e-01 3.665626106578109833e-02 8.668168451200041202e-01 7.104581462836069561e-02
1.519999999999999130e-01 6.624316353321273443e-01 4.179307238032223260e-02 8.643544658163344607e-01 8.087107929745532275e-02
1.710000000000000409e-01 6.613211371680309814e-01 4.689060963715555030e-02 8.615874289916414241e-01 9.057019277427739989e-02
1.899999999999999467e-01 6.600870478106819483e-01 5.194435938935300368e-02 8.585242070929584024e-01 1.001295102104539370e-01
2.090000000000000746e-01 6.587316414095945039e-01 5.694994203640349473e-02 8.551740444241319183e-01 1.095360841020945886e-01
2.279999999999999805e-01 6.572573918845656671e-01 6.190312356645405467e-02 8.515468898582079227e-01 1.187777145061179873e-01
2.470000000000001084e-01 6.556669619200963250e-01 6.679982639617587648e-02 8.476533261678684816e-01 1.278429918900573226e-01
2.660000000000000142e-01 6.539631913049023249e-01 7.163613925806933125e-02 8.435044968648718333e-01 1.367213324310447564e-01
2.849999999999999201e-01 6.521490847086832687e-01 7.640832609464982828e-02 8.391120314350180021e-01 1.454030056958679207e-01
3.040000000000000480e-01 6.502277989904440281e-01 8.111283392873000486e-02 8.344879698348096619e-01 1.538791547453347563e-01
3.229999999999999538e-01 6.482026301336814011e-01 8.574629968878608177e-02 8.296446870811342578e-01 1.621418088104448207e-01
3.420000000000000817e-01 6.460769999036741762e-01 9.030555597803770207e-02 8.245948187176330713e-01 1.701838887831954583e-01
3.609999999999999876e-01 6.438544423210146306e-01 9.478763578525749300e-02 8.193511878829313755e-01 1.779992058497090190e-01
3.800000000000001155e-01 6.415385900434344979e-01 9.918977614433677203e-02 8.139267346386357405e-01 1.855824536667005364e-01
3.990000000000000213e-01 6.391331607449939334e-01 1.035094207581683523e-01 8.083344481411144367e-01 1.929291945433700417e-01
4.179999999999999272e-01 6.366419435779082647e-01 1.077442216103771666e-01 8.025873021626941384e-01 2.000358401393091679e-01
4.370000000000000551e-01 6.340687857977713726e-01 1.118920395957506975e-01 7.966981943870714566e-01 2.068996272249794544e-01
4.559999999999999609e-01 6.314175796277852193e-01 1.159509442068467483e-01 7.906798898224145500e-01 2.135185890751216120e-01
4.750000000000000888e-01 6.286922494319615584e-01 1.199192123201211491e-01 7.845449685954829500e-01 2.198915230777007124e-01
4.939999999999999947e-01 6.258967392611813896e-01 1.237953261300157315e-01 7.783057783127518281e-01 2.260179551425668676e-01
5.129999999999999005e-01 6.230350008296298148e-01 1.275779702837333551e-01 7.719743911012133530e-01 2.318981014859236855e-01
5.320000000000000284e-01 6.201109819725356687e-01 1.312660282729259942e-01 7.655625653733333369e-01 2.375328283501057236e-01
5.509999999999999343e-01 6.171286156294581993e-01 1.348585781412210416e-01 7.590817122983757326e-01 2.429236101943133830e-01
5.700000000000000622e-01 6.140918093906559960e-01 1.383548875684492696e-01 7.525428669065470366e-01 2.480724868620872714e-01
5.889999999999999680e-01 6.110044356374337848e-01 1.417544083936323751e-01 7.459566637034908965e-01 2.529820201966619386e-01
6.080000000000000959e-01 6.078703223008751211e-01 1.450567706392881240e-01 7.393333166307560766e-01 2.576552505371602075e-01
6.270000000000000018e-01 6.046932442570907007e-01 1.482617760994639766e-01 7.326826031729236632e-01 2.620956534879720912e-01
6.459999999999999076e-01 6.014769153711070349e-01 1.513693915531567069e-01 7.260138523839154701e-01 2.663070973116771212e-01
6.650000000000000355e-01 5.982249811958508801e-01 1.543797416634939135e-01 7.193359365833281727e-01 2.702938012534327750e-01
6.839999999999999414e-01 5.949410123273639606e-01 1.572931016212779365e-01 7.126572664580146377e-01 2.740602950627049061e-01
7.030000000000000693e-01 5.916284984124751123e-01 1.601098895893133534e-01 7.059857892940735180e-01 2.776113799372363911e-01
7.219999999999999751e-01 5.882908428006656809e-01 1.628306590013869903e-01 6.993289900594047426e-01 2.809520910748366518e-01
