# n1 n2 x y probability
-4.500000000000000000e+01 -4.500000000000000000e+01 -6.750000000000000000e+01 -3.897114317029974018e+01 3.968852083693543821e-12
-4.500000000000000000e+01 -4.400000000000000000e+01 -6.700000000000000000e+01 -3.810511776651529914e+01 2.352442407095140687e-12
-4.500000000000000000e+01 -4.300000000000000000e+01 -6.650000000000000000e+01 -3.723909236273085810e+01 1.412585527187048559e-12
-4.500000000000000000e+01 -4.200000000000000000e+01 -6.600000000000000000e+01 -3.637306695894642417e+01 9.576063329157558587e-13
-4.500000000000000000e+01 -4.100000000000000000e+01 -6.550000000000000000e+01 -3.550704155516198313e+01 7.749158135102673273e-13
-4.500000000000000000e+01 -4.000000000000000000e+01 -6.500000000000000000e+01 -3.464101615137754209e+01 7.305887827763213234e-13
-4.500000000000000000e+01 -3.900000000000000000e+01 -6.450000000000000000e+01 -3.377499074759310815e+01 7.529624172092881983e-13
-4.500000000000000000e+01 -3.800000000000000000e+01 -6.400000000000000000e+01 -3.290896534380866711e+01 8.065049107638317585e-13
-4.500000000000000000e+01 -3.700000000000000000e+01 -6.350000000000000000e+01 -3.204293994002422608e+01 8.743562387111463734e-13
-4.500000000000000000e+01 -3.600000000000000000e+01 -6.300000000000000000e+01 -3.117691453623978859e+01 9.487327976264477810e-13
-4.500000000000000000e+01 -3.500000000000000000e+01 -6.250000000000000000e+01 -3.031088913245535110e+01 1.026089976882553728e-12
-4.500000000000000000e+01 -3.400000000000000000e+01 -6.200000000000000000e+01 -2.944486372867091362e+01 1.104802821518753557e-12
-4.500000000000000000e+01 -3.300000000000000000e+01 -6.150000000000000000e+01 -2.857883832488647258e+01 1.184092992092594976e-12
-4.500000000000000000e+01 -3.200000000000000000e+01 -6.100000000000000000e+01 -2.771281292110203509e+01 1.263547145782679397e-12
-4.500000000000000000e+01 -3.100000000000000000e+01 -6.050000000000000000e+01 -2.684678751731759760e+01 1.342905603405429340e-12
-4.500000000000000000e+01 -3.000000000000000000e+01 -6.000000000000000000e+01 -2.598076211353315657e+01 1.421972270710397600e-12
-4.500000000000000000e+01 -2.900000000000000000e+01 -5.950000000000000000e+01 -2.511473670974871908e+01 1.500576681046255637e-12
-4.500000000000000000e+01 -2.800000000000000000e+01 -5.900000000000000000e+01 -2.424871130596428159e+01 1.578558684664693391e-12
-4.500000000000000000e+01 -2.700000000000000000e+01 -5.850000000000000000e+01 -2.338268590217984055e+01 1.655762500153746980e-12
-4.500000000000000000e+01 -2.600000000000000000e+01 -5.800000000000000000e+01 -2.251666049839540307e+01 1.732033948651865541e-12
-4.500000000000000000e+01 -2.500000000000000000e+01 -5.750000000000000000e+01 -2.165063509461096558e+01 1.807220282657682081e-12
-4.500000000000000000e+01 -2.400000000000000000e+01 -5.700000000000000000e+01 -2.078460969082652809e+01 1.881169477041488063e-12
-4.500000000000000000e+01 -2.300000000000000000e+01 -5.650000000000000000e+01 -1.991858428704208706e+01 1.953730405213683277e-12
-4.500000000000000000e+01 -2.200000000000000000e+01 -5.600000000000000000e+01 -1.905255888325764957e+01 2.024753046889335986e-12
-4.500000000000000000e+01 -2.100000000000000000e+01 -5.550000000000000000e+01 -1.818653347947321208e+01 2.094088461402456472e-12
-4.500000000000000000e+01 -2.000000000000000000e+01 -5.500000000000000000e+01 -1.732050807568877104e+01 2.161589181823631593e-12
-4.500000000000000000e+01 -1.900000000000000000e+01 -5.450000000000000000e+01 -1.645448267190433356e+01 2.227109060110463883e-12
-4.500000000000000000e+01 -1.800000000000000000e+01 -5.400000000000000000e+01 -1.558845726811989429e+01 2.290503813616251322e-12
-4.500000000000000000e+01 -1.700000000000000000e+01 -5.350000000000000000e+01 -1.472243186433545681e+01 2.351630931766286799e-12
-4.500000000000000000e+01 -1.600000000000000000e+01 -5.300000000000000000e+01 -1.385640646055101755e+01 2.410349801233389714e-12
